Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Germany,21007.38327,21755.95195,21932.56668,22879.91186,23673.41896,24211.7378,24731.37644,25533.31983,26510.2287,27454.72864,28662.90428,29504.28924,30270.77236,31741.86242,32236.74099,34661.73713,36862.53509,38432.44821,37467.08611,39676.46095,42541.51313,43359.54105,44993.66784,47011.2804,47609.55716,50579.48372,53071.47837,55195.72205,57397.20459,56476.93431,58784.13886
Sweden,20734.27928,20837.76572,20769.58019,21890.84587,23107.80285,23934.63679,24806.21109,25888.9416,27471.4765,29622.3661,29932.17465,30926.361,31816.34059,33858.90731,34244.35929,37724.67254,40909.68262,42158.29643,40281.63109,42223.3124,44608.58489,45432.43101,46312.3974,47184.67317,49103.13195,50430.25079,51947.95578,53521.63578,56404.03236,56135.14136,60111.61264
Belgium,19599.30247,20269.73153,20471.13838,21518.98195,22447.55031,22744.39956,23733.31705,24370.04646,25441.89139,27789.05351,28791.40584,30281.66799,30934.59859,32063.6738,33176.68088,35253.92329,36794.2342,37883.23342,37753.27627,39837.99795,40943.34348,42290.47767,43672.71229,44929.93333,46201.68589,48599.20268,50442.94752,52530.84151,55800.82599,54539.03253,58806.11925
Finland,17560.45385,17271.40972,17479.16654,18480.03978,19588.09924,20088.20722,21795.07734,23578.01438,24767.16397,26788.42875,27800.10418,28605.12292,29052.831,31201.74722,32051.76289,34449.88856,37842.67643,40083.70194,37974.10951,38955.56386,40916.64733,40872.8548,41492.91842,41749.86473,42490.21105,44934.48825,47570.27035,49573.25577,51811.35616,52289.30316,54687.8598
Canada,20224.6806,20626.20898,21440.05255,22632.83127,23485.64344,24050.17614,25259.72536,26319.93026,27841.62958,29362.28957,30231.00503,30963.22201,32350.07088,33925.89256,36327.66206,38120.17679,39575.32497,40376.33017,38865.40602,40099.49789,41666.71885,42290.87908,44298.51446,45753.78294,44670.05437,46472.36877,48317.19116,49992.81142,49832.29798,47228.37249,53074.08826
United Kingdom,17442.79015,17866.43651,18703.42133,19786.77443,20623.83486,21978.21672,23084.30584,23713.42314,24514.04251,26542.4601,27895.04393,29093.12223,30354.86943,32093.99795,32740.65614,34760.17201,35547.7247,36760.88619,35104.48425,36583.9903,37245.25009,38329.61108,39989.08072,41288.47953,42601.74744,44230.58883,46117.22568,47219.46477,49317.5117,45867.7578,49765.08056
France,18342.39517,18966.17806,19210.09989,20008.54316,20783.12733,21363.20684,22247.83346,23364.49867,24311.40386,26098.27686,27498.59076,28528.15611,28178.37205,29065.20308,30504.05878,32470.14639,34132.16223,35102.87043,34687.98853,35911.51601,37447.94954,37684.19807,39528.47364,40144.05949,40829.89331,42855.94456,44445.59677,46336.93399,50221.99711,47823.91958,50998.9332
Japan,21204.241,21800.91847,22149.2197,22834.75171,23865.91364,25009.68209,25629.42066,25520.19654,25744.91658,27289.85193,27946.08314,28633.69892,29411.59288,30837.17542,32174.40011,33638.84126,35021.73222,35278.74985,33550.68955,35342.82472,36215.00627,37628.67599,39436.68259,39559.76347,40908.78155,40642.70453,41531.22162,42264.58512,42421.34874,41770.9336,42782.46908
Italy,19546.02043,20150.57448,20439.80511,21320.9835,22396.11722,23059.47945,23876.30122,25022.24072,25602.38648,27076.13472,28035.33339,28721.07628,29154.45206,29481.84134,30028.48898,32306.68003,33960.25594,35292.60186,34337.41901,34839.41653,36203.32852,36091.37396,36267.92535,36475.97606,37206.33182,40267.22262,41951.46633,43427.66314,45799.52693,43140.24658,46674.61412
New Zealand,14520.05631,14888.22914,15884.74428,16993.87523,17801.99437,18366.34282,19072.8267,19285.60368,20537.59563,21457.79758,22411.30493,23180.06498,23882.39925,25012.23645,25590.12745,27664.07739,29273.79478,29748.93157,30574.08016,31127.47463,32638.10333,32916.91304,36084.86578,37084.79414,37246.95114,39696.94607,42008.21108,42334.17358,45619.99792,45414.70245,47045.37309
