VIN (1-10),County,City,State,ZIP Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location
5YJSA1H27F,Snohomish,EVERETT,WA,98204,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,21,123797859,POINT (-122.255648 47.899424)
1N4AZ0CP4F,King,SEATTLE,WA,98115,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,43,126460232,POINT (-122.297534 47.685291)
JN1AZ0CP6C,Whatcom,LYNDEN,WA,98264,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,35200,42,217173092,POINT (-122.45535300000002 48.945625)
5YJXCDE22L,King,SEATTLE,WA,98103,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,36,131540447,POINT (-122.343577 47.672491)
1N4AZ0CP0F,King,SEATTLE,WA,98119,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,36,186420146,POINT (-122.36772100000002 47.639264)
5YJ3E1EB1K,King,BELLEVUE,WA,98006,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,41,332243432,POINT (-122.151342 47.560192)
5YJ3E1EB2J,King,ISSAQUAH,WA,98027,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,5,266714990,POINT (-122.010741 47.506838)
1G1FY6S07L,Clark,VANCOUVER,WA,98665,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,49,121587784,POINT (-122.65680300000001 45.682725)
1N4AZ0CP7F,Kitsap,SILVERDALE,WA,98383,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,23,172951110,POINT (-122.70405600000001 47.66424000000001)
5YJ3E1EB6K,Snohomish,BOTHELL,WA,98012,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,1,478058780,POINT (-122.20151499999999 47.843376)
5YJSA1E20J,King,MERCER ISLAND,WA,98040,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,74500,41,475019044,POINT (-122.227947 47.565443)
1G1FX6S03H,Walla Walla,WALLA WALLA,WA,99362,2017,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,37495,16,1553961,POINT (-118.34236600000001 46.081666)
5YJYGDEF3L,Benton,RICHLAND,WA,99352,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,8,131411955,POINT (-119.285025 46.247465)
5YJ3E1EA1J,King,SEATTLE,WA,98122,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,37,195747345,POINT (-122.303413 47.61065)
JHMZC5F33J,King,KIRKLAND,WA,98033,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,33400,48,264317784,POINT (-122.188994 47.678406)
1N4BZ1CPXK,Pierce,GIG HARBOR,WA,98335,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,29990,26,104321780,POINT (-122.612932 47.300296)
5UXKT0C59H,King,SEATTLE,WA,98146,2017,BMW,X5 XDRIVE40E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,63200,34,107654319,POINT (-122.35720600000002 47.501207)
1G1FW6S08H,Whatcom,BELLINGHAM,WA,98225,2017,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,37495,42,150056819,POINT (-122.493388 48.74995)
JF2GTDNC8K,King,SEATTLE,WA,98107,2019,SUBARU,CROSSTREK HYBRID AWD,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,34995,36,2735617,POINT (-122.375438 47.667804)
KNDCE3LG4K,Thurston,YELM,WA,98597,2019,KIA,NIRO ELECTRIC,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,38500,2,478118847,POINT (-122.558621 46.888349)
KNDCM3LD2J,Clark,VANCOUVER,WA,98662,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,27900,49,168672122,POINT (-122.57630799999998 45.677838)
KNDCC3LD4K,Pierce,TACOMA,WA,98408,2019,KIA,NIRO PLUG-IN HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,28500,29,240865257,POINT (-122.44622600000001 47.199152)
WP1AE2A29F,King,REDMOND,WA,98053,2015,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,76400,45,236595733,POINT (-122.024951 47.670286)
5YJ3E1ECXL,Pierce,LAKEWOOD,WA,98498,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,28,123269051,POINT (-122.55645 47.162344)
KNDCC3LD4K,King,SEATTLE,WA,98117,2019,KIA,NIRO PLUG-IN HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,28500,36,324012993,POINT (-122.379354 47.687571)
5YJXCBE25H,King,BELLEVUE,WA,98006,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,82500,41,223488849,POINT (-122.151342 47.560192)
1G1RA6S52J,King,VASHON,WA,98070,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,34095,34,259714675,POINT (-122.469161 47.415443)
1G1RA6S56H,King,FEDERAL WAY,WA,98023,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,33220,30,8011916,POINT (-122.362029 47.308531)
5YJ3E1EB1K,King,SAMMAMISH,WA,98074,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,45,166509038,POINT (-122.04272399999999 47.623594)
1N4AZ1CP6J,King,REDMOND,WA,98053,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,45,246086326,POINT (-122.024951 47.670286)
5YJ3E1EA5J,King,REDMOND,WA,98053,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,45,105474057,POINT (-122.024951 47.670286)
1G1FZ6S08L,Kitsap,POULSBO,WA,98370,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,23,4877211,POINT (-122.63339300000001 47.748427)
5YJ3E1EB5J,King,SEATTLE,WA,98116,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,34,318014588,POINT (-122.394511 47.574001)
5YJ3E1EA0K,King,SEATTLE,WA,98144,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,37,262658742,POINT (-122.30033 47.585339)
WA1VABGE3K,Whatcom,BELLINGHAM,WA,98225,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,74800,42,132905125,POINT (-122.493388 48.74995)
1G1FZ6S05K,King,SEATTLE,WA,98117,2019,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,36620,36,127102720,POINT (-122.379354 47.687571)
JN1AZ0CP5C,Jefferson,PORT TOWNSEND,WA,98368,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,35200,24,224105878,POINT (-122.81801600000001 48.080229)
1N4AZ1CP2L,Snohomish,EVERETT,WA,98208,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,44,136937489,POINT (-122.19615 47.894423)
2C4RC1H77J,King,MAPLE VALLEY,WA,98038,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,39995,5,342482626,POINT (-122.02812000000002 47.393554)
1FADP3R49E,King,BELLEVUE,WA,98008,2014,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,76,29170,48,248597793,POINT (-122.117365 47.609515)
1G1RB6S54H,Snohomish,SNOHOMISH,WA,98290,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,33220,39,119637360,POINT (-122.029605 47.939428)
1G1RB6E42F,Pierce,TACOMA,WA,98422,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,34170,27,127578244,POINT (-122.39628600000002 47.293138)
5YJ3E1EA9L,Snohomish,EVERETT,WA,98204,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,21,110870616,POINT (-122.255648 47.899424)
5YJXCAE43G,King,SEATTLE,WA,98109,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,74000,36,122641277,POINT (-122.346385 47.630685)
JTDKARFPXL,Yakima,YAKIMA,WA,98908,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,14,9053439,POINT (-120.646044 46.609142)
1N4BZ0CP3H,King,SHORELINE,WA,98177,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,30680,32,254584263,POINT (-122.37015900000002 47.743354)
JHMZC5F34J,King,BELLEVUE,WA,98008,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,33400,48,183753405,POINT (-122.117365 47.609515)
1G1RB6S50H,Kitsap,BAINBRIDGE ISLAND,WA,98110,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,33220,23,103562714,POINT (-122.534497 47.643688)
1N4AZ0CP1F,Pierce,TACOMA,WA,98422,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,27,442663896,POINT (-122.39628600000002 47.293138)
5YJXCBE20G,King,RENTON,WA,98055,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,74000,11,127422200,POINT (-122.2016 47.447869)
5YJ3E1EBXJ,Snohomish,BOTHELL,WA,98021,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,1,220540568,POINT (-122.21210499999998 47.792368)
1N4AZ1CP6J,Kitsap,BAINBRIDGE ISLAND,WA,98110,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,23,348376108,POINT (-122.534497 47.643688)
5YJ3E1EBXL,King,KIRKLAND,WA,98033,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,48,103315278,POINT (-122.188994 47.678406)
1N4AZ0CP9F,King,RENTON,WA,98056,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,11,218084380,POINT (-122.183961 47.510245)
5YJYGDEF1L,King,RENTON,WA,98059,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,11,106930862,POINT (-122.132064 47.494834)
1N4AZ1CP7J,King,NEWCASTLE,WA,98059,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,41,475914393,POINT (-122.132064 47.494834)
WVWKP7AU8G,King,AUBURN,WA,98092,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,28995,31,476323921,POINT (-122.148214 47.292978)
5YJ3E1EA0J,King,SEATTLE,WA,98117,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,36,475366797,POINT (-122.379354 47.687571)
SADHD2S10L,King,MERCER ISLAND,WA,98040,2020,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,234,0,41,121580056,POINT (-122.227947 47.565443)
1N4BZ0CP6G,Snohomish,SNOHOMISH,WA,98290,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,44,102172346,POINT (-122.029605 47.939428)
1N4AZ1CP7J,King,SEATTLE,WA,98146,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,34,301796561,POINT (-122.35720600000002 47.501207)
1G1RC6S53G,Clark,VANCOUVER,WA,98662,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,33170,17,139516737,POINT (-122.57630799999998 45.677838)
1G1FY6S06K,Benton,PROSSER,WA,99350,2019,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,36620,16,207772183,POINT (-119.717353 46.181753)
1N4AZ0CP1F,Snohomish,EVERETT,WA,98208,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,38,109599787,POINT (-122.19615 47.894423)
