Name,Age,Team,Salary
Victor Claver,26,POR,816482
Spencer Dinwiddie,21,DET,816482
Jordan Hamilton,24,LAC,816482
Sean Kilpatrick,25,MIN,816482
Joffrey Lauvergne,23,DEN,816482
Nazr Mohammed,37,CHI,816482
Andrew Nicholson,25,ORL,816482
Kendrick Perkins,30,TOT,816482
Glenn Robinson III,21,TOT,816482
John Salmons,35,NOP,816482
Greg Stiemsma,29,TOR,816482
Malcolm Thomas,26,PHI,816482
Tyrus Thomas,28,MEM,816482
Gerald Wallace,32,BOS,816482
Elliot Williams,25,TOT,816482
Earl Barron,33,PHO,816482
Jerrelle Benimon,23,UTA,816481
Sim Bhullar,22,SAC,777778
Shannon Brown,29,MIA,769881
Clint Capela,20,HOU,725000
Will Cherry,23,CLE,702756
Jared Cunningham,23,LAC,700000
Seth Curry,24,PHO,635827
Austin Daye,26,TOT,613478
Chris Douglas-Roberts,28,LAC,600000
Jamaal Franklin,23,DEN,507336
Paul George,24,IND,507336
Erick Green,23,DEN,507336
Brendan Haywood,35,CLE,507336
Dahntay Jones,34,LAC,507336
Andrei Kirilenko,33,BRK,507336
Alex Kirk,23,CLE,507336
Malcolm Lee,24,PHI,507336
Kalin Lucas,25,MEM,507336
Doug McDermott,23,CHI,507336
Eric Moreland,23,SAC,507336
Lucas Nogueira,22,TOR,507336
Miroslav Raduljica,27,MIN,507336
Shavlik Randolph,31,TOT,507336
David Stockton,23,SAC,507336
Ronny Turiaf,32,MIN,507336
David Wear,24,SAC,507336
Martell Webster,28,WAS,507336
C.J. Wilcox,24,LAC,507336
Cameron Bairstow,24,CHI,507336
Michael Beasley,26,MIA,507336
Bruno Caboclo,19,TOR,507336
Patrick Christopher,26,UTA,507336
Earl Clark,27,BRK,414551
Chris Copeland,30,IND,400000
Andre Dawkins,23,MIA,398400
Zoran Dragic,25,TOT,379010
Dante Exum,19,UTA,344036
Tim Frazier,24,TOT,336966
Drew Gordon,24,PHI,300000
Willie Green,33,ORL,268959
Xavier Henry,23,LAL,262057
Grant Jerrett,21,TOT,241731
Nick Johnson,22,HOU,235762
Devyn Marble,22,ORL,199950
Jerel McNeal,27,PHO,196217
Darius Miller,24,NOP,183049
Quincy Miller,22,TOT,167122
Toure' Murry,25,TOT,163296
Julius Randle,20,LAL,150591
Glen Rice,24,WAS,143870
Ish Smith,26,TOT,134295
Russ Smith,23,TOT,100000
Vander Blue,22,LAL,92514
Will Bynum,32,WAS,65000
Francisco Garcia,33,HOU,62552
Cartier Martin,30,DET,62552
Gal Mekel,26,NOP,62437
Nate Wolters,23,TOT,57726
Tyler Ennis,20,TOT,57711
Brandon Rush,29,GSW,53838
Travis Wear,24,NYK,50734
Larry Drew,24,PHI,48028
Cleanthony Early,23,NYK,44765
Darius Morris,24,BRK,43226
Lance Thomas,26,TOT,35000
Johnny O'Bryant,21,MIL,35000
Adreian Payne,23,TOT,29843
Ricky Ledo,22,TOT,29843
Gary Harris,20,DEN,29843
Zach LaVine,19,MIN,29843
Lance Stephenson,24,CHO,14409
